[2026-03-16T06:37:39.279+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: brewery_data_pipeline.extract_bronze_layer manual__2026-03-16T06:37:28.045113+00:00 [queued]>
[2026-03-16T06:37:39.325+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: brewery_data_pipeline.extract_bronze_layer manual__2026-03-16T06:37:28.045113+00:00 [queued]>
[2026-03-16T06:37:39.327+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2026-03-16T06:37:39.594+0000] {taskinstance.py:2191} INFO - Executing <Task(BashOperator): extract_bronze_layer> on 2026-03-16 06:37:28.045113+00:00
[2026-03-16T06:37:39.618+0000] {standard_task_runner.py:60} INFO - Started process 264 to run task
[2026-03-16T06:37:39.648+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'brewery_data_pipeline', 'extract_bronze_layer', 'manual__2026-03-16T06:37:28.045113+00:00', '--job-id', '18', '--raw', '--subdir', 'DAGS_FOLDER/brewery_pipeline.py', '--cfg-path', '/tmp/tmpr3ncli5t']
[2026-03-16T06:37:39.660+0000] {standard_task_runner.py:88} INFO - Job 18: Subtask extract_bronze_layer
[2026-03-16T06:37:40.245+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:194 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2026-03-16T06:37:40.449+0000] {task_command.py:423} INFO - Running <TaskInstance: brewery_data_pipeline.extract_bronze_layer manual__2026-03-16T06:37:28.045113+00:00 [running]> on host 5cd4b14e09d8
[2026-03-16T06:39:27.148+0000] {subprocess.py:93} INFO - Página 136 buscada. Total de cervejarias até agora: 6800
[2026-03-16T06:39:27.148+0000] {subprocess.py:93} INFO - Página 137 buscada. Total de cervejarias até agora: 6850
[2026-03-16T06:39:58.527+0000] {subprocess.py:93} INFO - Página 138 buscada. Total de cervejarias até agora: 6900
[2026-03-16T06:39:58.528+0000] {subprocess.py:93} INFO - Página 139 buscada. Total de cervejarias até agora: 6950
[2026-03-16T06:39:58.529+0000] {subprocess.py:93} INFO - Página 140 buscada. Total de cervejarias até agora: 7000
[2026-03-16T06:39:58.529+0000] {subprocess.py:93} INFO - Página 141 buscada. Total de cervejarias até agora: 7050
[2026-03-16T06:39:58.530+0000] {subprocess.py:93} INFO - Página 142 buscada. Total de cervejarias até agora: 7100
[2026-03-16T06:39:58.531+0000] {subprocess.py:93} INFO - Página 143 buscada. Total de cervejarias até agora: 7150
[2026-03-16T06:39:58.531+0000] {subprocess.py:93} INFO - Página 144 buscada. Total de cervejarias até agora: 7200
[2026-03-16T06:39:58.532+0000] {subprocess.py:93} INFO - Página 145 buscada. Total de cervejarias até agora: 7250
[2026-03-16T06:39:58.532+0000] {subprocess.py:93} INFO - Página 146 buscada. Total de cervejarias até agora: 7300
[2026-03-16T06:39:58.534+0000] {subprocess.py:93} INFO - Página 147 buscada. Total de cervejarias até agora: 7350
[2026-03-16T06:39:58.534+0000] {subprocess.py:93} INFO - Página 148 buscada. Total de cervejarias até agora: 7400
[2026-03-16T06:39:58.535+0000] {subprocess.py:93} INFO - Página 149 buscada. Total de cervejarias até agora: 7450
[2026-03-16T06:39:58.536+0000] {subprocess.py:93} INFO - Página 150 buscada. Total de cervejarias até agora: 7500
[2026-03-16T06:39:58.536+0000] {subprocess.py:93} INFO - Página 151 buscada. Total de cervejarias até agora: 7550
[2026-03-16T06:39:58.537+0000] {subprocess.py:93} INFO - Página 152 buscada. Total de cervejarias até agora: 7600
[2026-03-16T06:39:58.537+0000] {subprocess.py:93} INFO - Página 153 buscada. Total de cervejarias até agora: 7650
[2026-03-16T06:39:58.538+0000] {subprocess.py:93} INFO - Página 154 buscada. Total de cervejarias até agora: 7700
[2026-03-16T06:39:58.538+0000] {subprocess.py:93} INFO - Página 155 buscada. Total de cervejarias até agora: 7750
[2026-03-16T06:39:58.540+0000] {subprocess.py:93} INFO - Página 156 buscada. Total de cervejarias até agora: 7800
[2026-03-16T06:39:58.541+0000] {subprocess.py:93} INFO - Página 157 buscada. Total de cervejarias até agora: 7850
[2026-03-16T06:39:58.542+0000] {subprocess.py:93} INFO - Página 158 buscada. Total de cervejarias até agora: 7900
[2026-03-16T06:39:58.543+0000] {subprocess.py:93} INFO - Página 159 buscada. Total de cervejarias até agora: 7950
