[2026-03-15T02:51:59.421+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: brewery_data_pipeline.extract_bronze_layer manual__2026-03-15T02:51:58.532779+00:00 [queued]>
[2026-03-15T02:51:59.431+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: brewery_data_pipeline.extract_bronze_layer manual__2026-03-15T02:51:58.532779+00:00 [queued]>
[2026-03-15T02:51:59.432+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2026-03-15T02:51:59.448+0000] {taskinstance.py:2191} INFO - Executing <Task(BashOperator): extract_bronze_layer> on 2026-03-15 02:51:58.532779+00:00
[2026-03-15T02:51:59.471+0000] {standard_task_runner.py:60} INFO - Started process 3598 to run task
[2026-03-15T02:51:59.476+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'brewery_data_pipeline', 'extract_bronze_layer', 'manual__2026-03-15T02:51:58.532779+00:00', '--job-id', '9', '--raw', '--subdir', 'DAGS_FOLDER/brewery_pipeline.py', '--cfg-path', '/tmp/tmpzo4chryk']
[2026-03-15T02:51:59.479+0000] {standard_task_runner.py:88} INFO - Job 9: Subtask extract_bronze_layer
[2026-03-15T02:51:59.495+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:194 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2026-03-15T02:51:59.573+0000] {task_command.py:423} INFO - Running <TaskInstance: brewery_data_pipeline.extract_bronze_layer manual__2026-03-15T02:51:58.532779+00:00 [running]> on host 7ae72f5da3a1
[2026-03-15T02:53:39.329+0000] {subprocess.py:93} INFO - Página 137 buscada. Total de cervejarias até agora: 6850
[2026-03-15T02:53:39.329+0000] {subprocess.py:93} INFO - Página 138 buscada. Total de cervejarias até agora: 6900
[2026-03-15T02:54:10.997+0000] {subprocess.py:93} INFO - Página 139 buscada. Total de cervejarias até agora: 6950
[2026-03-15T02:54:10.999+0000] {subprocess.py:93} INFO - Página 140 buscada. Total de cervejarias até agora: 7000
[2026-03-15T02:54:11.000+0000] {subprocess.py:93} INFO - Página 141 buscada. Total de cervejarias até agora: 7050
[2026-03-15T02:54:11.001+0000] {subprocess.py:93} INFO - Página 142 buscada. Total de cervejarias até agora: 7100
[2026-03-15T02:54:11.003+0000] {subprocess.py:93} INFO - Página 143 buscada. Total de cervejarias até agora: 7150
[2026-03-15T02:54:11.004+0000] {subprocess.py:93} INFO - Página 144 buscada. Total de cervejarias até agora: 7200
[2026-03-15T02:54:11.005+0000] {subprocess.py:93} INFO - Página 145 buscada. Total de cervejarias até agora: 7250
[2026-03-15T02:54:11.007+0000] {subprocess.py:93} INFO - Página 146 buscada. Total de cervejarias até agora: 7300
[2026-03-15T02:54:11.008+0000] {subprocess.py:93} INFO - Página 147 buscada. Total de cervejarias até agora: 7350
[2026-03-15T02:54:11.009+0000] {subprocess.py:93} INFO - Página 148 buscada. Total de cervejarias até agora: 7400
[2026-03-15T02:54:11.009+0000] {subprocess.py:93} INFO - Página 149 buscada. Total de cervejarias até agora: 7450
[2026-03-15T02:54:11.010+0000] {subprocess.py:93} INFO - Página 150 buscada. Total de cervejarias até agora: 7500
[2026-03-15T02:54:11.012+0000] {subprocess.py:93} INFO - Página 151 buscada. Total de cervejarias até agora: 7550
[2026-03-15T02:54:11.013+0000] {subprocess.py:93} INFO - Página 152 buscada. Total de cervejarias até agora: 7600
[2026-03-15T02:54:11.015+0000] {subprocess.py:93} INFO - Página 153 buscada. Total de cervejarias até agora: 7650
[2026-03-15T02:54:11.016+0000] {subprocess.py:93} INFO - Página 154 buscada. Total de cervejarias até agora: 7700
[2026-03-15T02:54:11.018+0000] {subprocess.py:93} INFO - Página 155 buscada. Total de cervejarias até agora: 7750
