[2026-03-15T03:01:01.071+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: brewery_data_pipeline.extract_bronze_layer manual__2026-03-15T02:51:58.532779+00:00 [queued]>
[2026-03-15T03:01:01.081+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: brewery_data_pipeline.extract_bronze_layer manual__2026-03-15T02:51:58.532779+00:00 [queued]>
[2026-03-15T03:01:01.082+0000] {taskinstance.py:2170} INFO - Starting attempt 2 of 3
[2026-03-15T03:01:01.098+0000] {taskinstance.py:2191} INFO - Executing <Task(BashOperator): extract_bronze_layer> on 2026-03-15 02:51:58.532779+00:00
[2026-03-15T03:01:01.105+0000] {standard_task_runner.py:60} INFO - Started process 4107 to run task
[2026-03-15T03:01:01.109+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'brewery_data_pipeline', 'extract_bronze_layer', 'manual__2026-03-15T02:51:58.532779+00:00', '--job-id', '12', '--raw', '--subdir', 'DAGS_FOLDER/brewery_pipeline.py', '--cfg-path', '/tmp/tmpy7neofp5']
[2026-03-15T03:01:01.111+0000] {standard_task_runner.py:88} INFO - Job 12: Subtask extract_bronze_layer
[2026-03-15T03:01:01.128+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:194 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2026-03-15T03:01:01.180+0000] {task_command.py:423} INFO - Running <TaskInstance: brewery_data_pipeline.extract_bronze_layer manual__2026-03-15T02:51:58.532779+00:00 [running]> on host 7ae72f5da3a1
[2026-03-15T03:02:04.350+0000] {subprocess.py:93} INFO - Página 140 buscada. Total de cervejarias até agora: 7000
[2026-03-15T03:02:04.351+0000] {subprocess.py:93} INFO - Página 141 buscada. Total de cervejarias até agora: 7050
[2026-03-15T03:02:04.353+0000] {subprocess.py:93} INFO - Página 142 buscada. Total de cervejarias até agora: 7100
[2026-03-15T03:02:04.357+0000] {subprocess.py:93} INFO - Página 143 buscada. Total de cervejarias até agora: 7150
[2026-03-15T03:02:04.361+0000] {subprocess.py:93} INFO - Página 144 buscada. Total de cervejarias até agora: 7200
[2026-03-15T03:02:04.363+0000] {subprocess.py:93} INFO - Página 145 buscada. Total de cervejarias até agora: 7250
[2026-03-15T03:02:04.365+0000] {subprocess.py:93} INFO - Página 146 buscada. Total de cervejarias até agora: 7300
[2026-03-15T03:02:04.366+0000] {subprocess.py:93} INFO - Página 147 buscada. Total de cervejarias até agora: 7350
[2026-03-15T03:02:04.367+0000] {subprocess.py:93} INFO - Página 148 buscada. Total de cervejarias até agora: 7400
[2026-03-15T03:02:04.368+0000] {subprocess.py:93} INFO - Página 149 buscada. Total de cervejarias até agora: 7450
[2026-03-15T03:02:04.369+0000] {subprocess.py:93} INFO - Página 150 buscada. Total de cervejarias até agora: 7500
[2026-03-15T03:02:04.370+0000] {subprocess.py:93} INFO - Página 151 buscada. Total de cervejarias até agora: 7550
[2026-03-15T03:02:04.374+0000] {subprocess.py:93} INFO - Página 152 buscada. Total de cervejarias até agora: 7600
[2026-03-15T03:02:04.375+0000] {subprocess.py:93} INFO - Página 153 buscada. Total de cervejarias até agora: 7650
[2026-03-15T03:02:04.376+0000] {subprocess.py:93} INFO - Página 154 buscada. Total de cervejarias até agora: 7700
[2026-03-15T03:02:04.377+0000] {subprocess.py:93} INFO - Página 155 buscada. Total de cervejarias até agora: 7750
[2026-03-15T03:02:04.377+0000] {subprocess.py:93} INFO - Página 156 buscada. Total de cervejarias até agora: 7800
[2026-03-15T03:02:04.378+0000] {subprocess.py:93} INFO - Página 157 buscada. Total de cervejarias até agora: 7850
[2026-03-15T03:02:04.379+0000] {subprocess.py:93} INFO - Página 158 buscada. Total de cervejarias até agora: 7900
[2026-03-15T03:02:04.380+0000] {subprocess.py:93} INFO - Página 159 buscada. Total de cervejarias até agora: 7950
[2026-03-15T03:02:04.381+0000] {subprocess.py:93} INFO - Página 160 buscada. Total de cervejarias até agora: 8000
[2026-03-15T03:02:04.382+0000] {subprocess.py:93} INFO - Página 161 buscada. Total de cervejarias até agora: 8050
[2026-03-15T03:02:04.383+0000] {subprocess.py:93} INFO - Página 162 buscada. Total de cervejarias até agora: 8100
[2026-03-15T03:02:04.383+0000] {subprocess.py:93} INFO - Página 163 buscada. Total de cervejarias até agora: 8150
[2026-03-15T03:02:04.384+0000] {subprocess.py:93} INFO - Página 164 buscada. Total de cervejarias até agora: 8200
[2026-03-15T03:02:04.384+0000] {subprocess.py:93} INFO - Página 165 buscada. Total de cervejarias até agora: 8250
[2026-03-15T03:02:04.384+0000] {subprocess.py:93} INFO - Página 166 buscada. Total de cervejarias até agora: 8300
[2026-03-15T03:02:04.385+0000] {subprocess.py:93} INFO - Página 167 buscada. Total de cervejarias até agora: 8350
[2026-03-15T03:02:04.385+0000] {subprocess.py:93} INFO - Página 168 buscada. Total de cervejarias até agora: 8400
[2026-03-15T03:02:04.385+0000] {subprocess.py:93} INFO - Página 169 buscada. Total de cervejarias até agora: 8450
[2026-03-15T03:02:04.386+0000] {subprocess.py:93} INFO - Página 170 buscada. Total de cervejarias até agora: 8500
[2026-03-15T03:02:04.386+0000] {subprocess.py:93} INFO - Página 171 buscada. Total de cervejarias até agora: 8550
[2026-03-15T03:02:04.387+0000] {subprocess.py:93} INFO - Página 172 buscada. Total de cervejarias até agora: 8600
